Tiempo, Cabina1, Cabina2, Cabina3, Cabina4, Cabina5, 
1, vacio, vacio, vacio, vacio, vacio, 
2, vacio, vacio, vacio, vacio, vacio, 
3, vacio, vacio, vacio, vacio, vacio, 
4, vacio, vacio, vacio, vacio, vacio, 
5, vacio, vacio, vacio, vacio, vacio, 
6, vacio, vacio, vacio, vacio, vacio, 
7, vacio, vacio, vacio, vacio, vacio, 
8, vacio, vacio, vacio, vacio, vacio, 
9, vacio, vacio, vacio, vacio, vacio, 
10, vacio, vacio, vacio, vacio, vacio, 
11, vacio, vacio, vacio, vacio, vacio, 
12, EJECUTA SQL-8815 NORMAL, vacio, vacio, vacio, vacio, 
13, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, vacio, vacio, vacio, 
14, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, vacio, 
15, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
16, EJECUTA SQL-8815 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
17, EJECUTA SAX-5697 NORMAL, EJECUTA SXI-4795 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
18, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SHA-2249 NORMAL, EJECUTA SEX-8272 NORMAL, EJECUTA SBK-5138 NORMAL, 
19, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SBK-5138 NORMAL, 
20, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
21, EJECUTA SAX-5697 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
22, EJECUTA SOA-7653 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
23, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
24, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SLB-7072 NORMAL, 
25, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
26, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
27, EJECUTA STJ-2229 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
28, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
29, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SSS-7811 NORMAL, 
30, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
31, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
32, EJECUTA SKZ-2033 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
33, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
34, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SDI-6093 NORMAL, 
35, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
36, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
37, EJECUTA SCV-1677 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
38, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
39, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SUS-2454 NORMAL, 
40, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
41, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
42, EJECUTA SAM-7302 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
43, EJECUTA SAM-7302 NORMAL, EJECUTA SGT-0320 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
44, EJECUTA SAM-7302 NORMAL, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SWL-3932 NORMAL, 
45, EJECUTA SAM-7302 NORMAL, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
46, EJECUTA SAM-7302 NORMAL, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
47, EJECUTA SPX-1280 NORMAL, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
48, EJECUTA SPX-1280 NORMAL, EJECUTA SLQ-7571 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
49, EJECUTA SPX-1280 NORMAL, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SVM-2266 NORMAL, 
50, EJECUTA SPX-1280 NORMAL, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
51, EJECUTA SPX-1280 NORMAL, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
52, EJECUTA SQF-9494 NORMAL, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
53, EJECUTA SQF-9494 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
54, EJECUTA SQF-9494 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SGG-1492 NORMAL, 
55, EJECUTA SQF-9494 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
56, EJECUTA SQF-9494 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
57, EJECUTA SMW-6391 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
58, EJECUTA SMW-6391 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
59, EJECUTA SMW-6391 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SLI-6252 NORMAL, 
60, EJECUTA SMW-6391 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
61, EJECUTA SMW-6391 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
62, EJECUTA SDV-5710 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
63, EJECUTA SDV-5710 NORMAL, EJECUTA SJU-3542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
64, EJECUTA SDV-5710 NORMAL, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SYB-1976 NORMAL, 
65, EJECUTA SDV-5710 NORMAL, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
66, EJECUTA SDV-5710 NORMAL, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
67, EJECUTA SBY-8960 NORMAL, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
68, EJECUTA SBY-8960 NORMAL, EJECUTA STS-5654 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
69, EJECUTA SBY-8960 NORMAL, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SQI-8904 NORMAL, 
70, EJECUTA SBY-8960 NORMAL, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
71, EJECUTA SBY-8960 NORMAL, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
72, EJECUTA SWH-1847 NORMAL, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
73, EJECUTA SWH-1847 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
74, EJECUTA SWH-1847 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SDC-6801 NORMAL, 
75, EJECUTA SWH-1847 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
76, EJECUTA SWH-1847 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
77, EJECUTA SVK-1858 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
78, EJECUTA SVK-1858 NORMAL, EJECUTA SBD-8611 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
79, EJECUTA SVK-1858 NORMAL, EJECUTA SBD-8611 NORMAL, EJECUTA SBP-4216 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SYE-8366 NORMAL, 
80, EJECUTA SVK-1858 NORMAL, EJECUTA SBD-8611 NORMAL, EJECUTA SBP-4216 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, 
81, EJECUTA SVK-1858 NORMAL, EJECUTA SBD-8611 NORMAL, EJECUTA SBP-4216 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, 
82, EJECUTA SQS-8867 NORMAL, EJECUTA SBD-8611 NORMAL, EJECUTA SBP-4216 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, 
83, EJECUTA SQS-8867 NORMAL, EJECUTA SLT-3650 NORMAL, EJECUTA SBP-4216 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, 
84, EJECUTA SQS-8867 NORMAL, EJECUTA SLT-3650 NORMAL, EJECUTA SHD-4536 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SZI-3086 NORMAL, 
85, EJECUTA SQS-8867 NORMAL, EJECUTA SLT-3650 NORMAL, EJECUTA SHD-4536 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
86, EJECUTA SQS-8867 NORMAL, EJECUTA SLT-3650 NORMAL, EJECUTA SHD-4536 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
87, EJECUTA SLL-1916 NORMAL, EJECUTA SLT-3650 NORMAL, EJECUTA SHD-4536 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
88, EJECUTA SLL-1916 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SHD-4536 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
89, EJECUTA SLL-1916 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SMC-6812 NORMAL, 
90, EJECUTA SLL-1916 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
91, EJECUTA SLL-1916 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
92, EJECUTA SCT-1098 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
93, EJECUTA SCT-1098 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
94, EJECUTA SCT-1098 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SDA-3110 NORMAL, EJECUTA SZB-8546 NORMAL, 
95, EJECUTA SCT-1098 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SDA-3110 NORMAL, EJECUTA SFT-7453 NORMAL, 
96, EJECUTA SCT-1098 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SDA-3110 NORMAL, EJECUTA SFT-7453 NORMAL, 
97, EJECUTA SMA-8975 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SDA-3110 NORMAL, EJECUTA SFT-7453 NORMAL, 
98, EJECUTA SMA-8975 NORMAL, EJECUTA SQI-7402 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SDA-3110 NORMAL, EJECUTA SFT-7453 NORMAL, 
99, EJECUTA SMA-8975 NORMAL, EJECUTA SQI-7402 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, EJECUTA SFT-7453 NORMAL, 
100, EJECUTA SMA-8975 NORMAL, EJECUTA SQI-7402 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, EJECUTA SQJ-1611 NORMAL, 
101, EJECUTA SMA-8975 NORMAL, EJECUTA SQI-7402 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, EJECUTA SQJ-1611 NORMAL, 
102, EJECUTA SLL-2713 NORMAL, EJECUTA SQI-7402 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, EJECUTA SQJ-1611 NORMAL, 
103, EJECUTA SLL-2713 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, EJECUTA SQJ-1611 NORMAL, 
104, EJECUTA SLL-2713 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, EJECUTA SQJ-1611 NORMAL, 
105, EJECUTA SLL-2713 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, EJECUTA SIU-6965 NORMAL, 
106, EJECUTA SLL-2713 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, EJECUTA SIU-6965 NORMAL, 
107, EJECUTA SJS-7354 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, EJECUTA SIU-6965 NORMAL, 
108, EJECUTA SJS-7354 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, EJECUTA SIU-6965 NORMAL, 
109, EJECUTA SJS-7354 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, EJECUTA SIU-6965 NORMAL, 
110, EJECUTA SJS-7354 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, EJECUTA SPJ-6658 NORMAL, 
